Product Name,Brand,Price,Image URL,is_girly
Native Sensitive Deodorant - Sandalwood & Shea - No Baking Soda - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_37a74ce3-106a-4fc2-92c9-0c7720748b6e?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant - Cucumber & Mint - Aluminum Free - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_d821b55e-b04d-43b1-b756-53b167e0e58f?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Clinical Protection Skin Renew Women's Antiperspirant & Deodorant Stick - 1.7oz,Dove Beauty,$12.49,https://target.scene7.com/is/image/Target/GUEST_574c078d-4588-4e35-9841-42e04c76995c?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Lume Whole Body Women's Deodorant - Smooth Solid Stick - Aluminum Free  - Clean Tangerine Scent - 2.6oz,Lume,$14.99,https://target.scene7.com/is/image/Target/GUEST_51550d0c-9643-4e08-a140-d3a8f0d847c6?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Native Deodorant - Cucumber & Mint - Aluminum Free - Trial Size 0.35 oz,Native,$3.79,https://target.scene7.com/is/image/Target/GUEST_f1ddea96-d438-440f-9a5f-1abc91679fdd?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Rose Petals 72-Hour Women's Antiperspirant & Deodorant Dry Spray - 3.8oz,Dove Beauty,$7.99,https://target.scene7.com/is/image/Target/GUEST_8ee04b0e-ce17-4e9b-82fd-b6c926d3a77c?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant - Lavender & Rose - Aluminum Free - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_ff884454-48bb-434a-be69-5c54537b6c2f?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Dove Beauty go Fresh Cool Essentials 48-Hour Antiperspirant & Deodorant Spray Twin Pack - 3.8oz/2ct,Dove Beauty,$18.39,https://target.scene7.com/is/image/Target/GUEST_f474c918-6765-4e20-9d4a-f85b7a9e5e93?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Sheer Fresh 72-Hour Women's Antiperspirant & Deodorant Stick - 2.6oz,Dove Beauty,$7.89,https://target.scene7.com/is/image/Target/GUEST_c898965b-3f3b-4048-8153-398b1685c3fb?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Cool Essentials Antiperspirant Deodorant Dry Spray - Trial Size - 1oz,Dove Beauty,$3.19,https://target.scene7.com/is/image/Target/GUEST_e3249ff9-a156-4f98-88ad-518823d250e0?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Degree Men Cool Rush 72-Hour Antiperspirant & Deodorant Stick - Trial Size - 0.5oz,Degree,$1.19,https://target.scene7.com/is/image/Target/GUEST_124a6675-632d-4e3b-9072-6c7652551c4e?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Clinical Protection Cool Essentials Women's Antiperspirant & Deodorant Stick - 1.7oz,Dove Beauty,$12.49,https://target.scene7.com/is/image/Target/GUEST_b2a8db6d-b7b1-4f37-ac23-b11df1bd14d8?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Cool Wave Clear Gel Antiperspirant & Deodorant,Gillette,$6.79 - $12.49,https://target.scene7.com/is/image/Target/GUEST_20e903ce-194b-44e0-a74c-5df1ee2a582d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
SheaMoisture Aluminum Free Whole Body Invisible Deodorant Anti-Chafe Stick - Coconut & Hibiscus - 2.6oz,SheaMoisture,$12.19,https://target.scene7.com/is/image/Target/GUEST_e1db3731-3c29-4dab-a590-c54cda52b093?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Tom's of Maine Mountain Spring Deodorant - 3.25oz,Tom's of Maine,$10.19,https://target.scene7.com/is/image/Target/GUEST_ba98774b-a07c-491c-8ed8-77309f4e2e5b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Lume Whole Body Women's Deodorant - Smooth Solid Stick - Aluminum Free - Lavender Sage Scent - 2.6oz,Lume,$18.99,https://target.scene7.com/is/image/Target/GUEST_515b0cc7-fde8-4e13-9062-8915ba19c94e?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Dove Beauty Advanced Care Clear Finish 72-Hour Women's Antiperspirant & Deodorant Stick - 2.6oz,Dove Beauty,$6.89,https://target.scene7.com/is/image/Target/GUEST_a601a71e-7d93-49b9-8396-ecc203e5207d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Sensitive Deodorant - Cotton & Lily - No Baking Soda - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_069258a1-1f10-4a34-843e-5fe436d20bf8?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Outlast Xtend Completely Clean Clear Gel Antiperspirant & Deodorant,Secret,$8.89 - $15.29,https://target.scene7.com/is/image/Target/GUEST_1dae813a-bf5d-4195-9ad8-e1b4165632ef?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Cool Wave Clear Gel Antiperspirant & Deodorant,Gillette,$6.79 - $12.49,https://target.scene7.com/is/image/Target/GUEST_6c9829bb-5d9d-4e5f-8c43-6d7ff68aae35?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty VitaminCare+ Aluminum Free Deodorant Stick with Niacinamide - Coconut & Shea - 2.6oz,Dove Beauty,$14.69,https://target.scene7.com/is/image/Target/GUEST_d9a32b79-fd20-4626-af87-dd5f7942df2b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant - Sea Salt & Cedar - Aluminum Free - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_fd02c840-c7a8-41db-8bfd-80318e671c50?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Clinical Protection Original Clean Women's Antiperspirant & Deodorant Stick - 1.7oz,Dove Beauty,$12.49,https://target.scene7.com/is/image/Target/GUEST_a6c01eb5-bd3c-4276-9faf-fc14b8db6d98?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Powder 24-Hour Invisible Solid Antiperspirant & Deodorant Stick,Dove Beauty,$3.89 - $8.69,https://target.scene7.com/is/image/Target/GUEST_236a856b-a1ec-4d08-9bd6-86108a22df85?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Degree Men's Ultraclear Black + White Fresh 72-Hour Antiperspirant & Deodorant Dry Spray - 3.8oz,Degree,$7.39,https://target.scene7.com/is/image/Target/GUEST_69f57048-2706-4b35-82a6-bde5af25dbfb?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Degree Ultra Clear Black + White Pure Clean Antiperspirant & Deodorant Dry Spray - 3.8oz,Degree,$7.39 - $13.39,https://target.scene7.com/is/image/Target/GUEST_b9b3e2f4-248c-441e-b6e7-b5c8d906b758?qlt=65&fmt=pjpeg&hei=350&wid=350,no
