Product Name,Brand,Price,Image URL,is_girly
Schick Intuition Sensitive Care Womens Razor Blade Refills,Schick,$19.99 - $29.99,https://target.scene7.com/is/image/Target/GUEST_390c6706-3e1c-45be-b30a-32f9a4e443e1?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Extra Smooth Value Pack Razor - Handle + 4 Blade Refills,Venus,$23.99,https://target.scene7.com/is/image/Target/GUEST_8e4715c8-baa9-4dc4-8f91-8a14ba994b75?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette Sensor3 Comfort Men's Disposable Razors - 4ct,Gillette,$6.89,https://target.scene7.com/is/image/Target/GUEST_f1383290-9f0e-48e9-9598-5717b76e2383?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Flamingo Pubic Women’s Razor  - 1 Razor Handle + 2 Razor Blade Cartridges,Flamingo,$14.79,https://target.scene7.com/is/image/Target/GUEST_e9470e78-d35d-41ac-b6b3-e4e329f2685e?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette Fusion5 Men's Razor + 2 Razor Blade Refills,Gillette,$12.99,https://target.scene7.com/is/image/Target/GUEST_b69f87be-aa98-4513-bc5f-686ff59af341?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Xtreme2 Sensitive Men's Disposable Razors - 12ct,Schick,$8.69,https://target.scene7.com/is/image/Target/GUEST_2adcd9a4-194e-4d89-8d1d-d463e80768a4?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Flamingo Women's Razor Blade Refills - 5-Blade Refill Cartridges - 8ct,Flamingo,$21.99,https://target.scene7.com/is/image/Target/GUEST_92e3993e-9875-42e3-8074-5c54ac1b63e8?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Comfortglide with Olay Coconut Women's Razor + 2 Razor Blade Refills,Venus,$17.79,https://target.scene7.com/is/image/Target/GUEST_45caacd6-033f-42d2-ae61-deab8c799db2?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette Mach3 Sensitive Men's Disposable Razor,Gillette,$7.89,https://target.scene7.com/is/image/Target/GUEST_192f45eb-5ec5-4bfd-8d1b-8b854107dc6d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Venus for Facial Hair & Skin Care Exfoliating Dermaplaning Razor + 2 Blade Refills Starter Kit - 3ct,Venus,$18.69,https://target.scene7.com/is/image/Target/GUEST_2733e562-eaad-4b6f-9e61-a0d38609357e?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Harry's 5-Blade Men's Razor Blade Refills - 4pk - Compatible with All Harry's and Flamingo Razors,Harry's,$11.19,https://target.scene7.com/is/image/Target/GUEST_23216dcb-4014-4cb4-9448-0dca5a883c04?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Sensor2 Plus Pivoting Head Men's Disposable Razors,Gillette,$12.69 - $15.69,https://target.scene7.com/is/image/Target/GUEST_91be6a6b-01c2-4757-92b7-af4cf5792956?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Harry's 5-Blade Men's Razor - 1 Razor Handle + 2 Razor Blade Cartridges - Charcoal,Harry's,$11.19,https://target.scene7.com/is/image/Target/GUEST_a215309b-0d84-4cde-a4ee-9cd9cfaa0580?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Flamingo 5-Blade Women's Razor - 1 Razor Handle + 2 Razor Blade Refills,Flamingo,$11.19,https://target.scene7.com/is/image/Target/GUEST_47a78d9e-3b91-4d34-a8e0-a1561bd1c771?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus for Pubic Hair & Skin Women's Razor + 2 Razor Blade Refills,Venus,$16.79,https://target.scene7.com/is/image/Target/GUEST_47477755-6f2e-4496-8923-a1b4ad04e0c0?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Comfortglide White Tea Women's Razor Blade Refills,Venus,$28.79 - $43.99,https://target.scene7.com/is/image/Target/GUEST_fc9396a8-e268-4d4a-8df8-47889e6ae753?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Deluxe Smooth Gold Women's Razor Handle + 2 Blade Refills,Venus,$17.79,https://target.scene7.com/is/image/Target/GUEST_9455e338-d8e6-425d-8e89-8c3120e2bc9c?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Smooth Value Pack Razor - Handle + 6 Blade Refills,Venus,$23.99,https://target.scene7.com/is/image/Target/GUEST_b732c1e5-cd03-4453-91a2-da415c95379c?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Flamingo 5-Blade Women's Razor - 1 Razor Handle + 2 Razor Blade Refills - Polished Chrome,Flamingo,$18.99,https://target.scene7.com/is/image/Target/GUEST_df61770b-c35a-4458-8b81-a1b91afab887?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Men's Five Blade Disposable - 2ct - up&up™,up&up,$3.99,https://target.scene7.com/is/image/Target/GUEST_d0f61f4b-cdf9-4a77-b67a-7490dd684bbb?qlt=65&fmt=pjpeg&hei=350&wid=350,no
